epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,123.44,0.47995,0.37496,0.81629,0.97962,1,0.995,0.83674,0.63377,0.58429,0.88802,0.00025788,0.00025788,0.00025788
44,126.01,0.4755,0.3695,0.84818,0.97962,1,0.995,0.83674,0.63377,0.58429,0.88802,0.00024983,0.00024983,0.00024983
45,128.489,0.54927,0.40259,0.88315,0.97075,1,0.995,0.84377,0.59426,0.54421,0.86647,0.00024112,0.00024112,0.00024112
46,130.551,0.47861,0.36141,0.85374,0.97075,1,0.995,0.84377,0.59426,0.54421,0.86647,0.00023175,0.00023175,0.00023175
47,132.743,0.44469,0.35739,0.83097,0.9894,1,0.995,0.85266,0.58726,0.46816,0.85752,0.00022172,0.00022172,0.00022172
48,134.941,0.50316,0.37978,0.85396,0.9894,1,0.995,0.85266,0.58726,0.46816,0.85752,0.00021103,0.00021103,0.00021103
49,139.306,0.53292,0.36911,0.8392,0.99642,1,0.995,0.87308,0.5597,0.41261,0.84411,0.00019968,0.00019968,0.00019968
50,142.214,0.50083,0.36614,0.84756,0.99642,1,0.995,0.87308,0.5597,0.41261,0.84411,0.00018767,0.00018767,0.00018767
51,152.889,0.42745,0.34899,0.80738,0.99659,1,0.995,0.87023,0.55456,0.38175,0.8412,0.000175,0.000175,0.000175
52,155.836,0.41341,0.32624,0.83775,0.99659,1,0.995,0.87023,0.55456,0.38175,0.8412,0.00016167,0.00016167,0.00016167
53,158.256,0.42524,0.37382,0.80346,0.99659,1,0.995,0.87023,0.55456,0.38175,0.8412,0.00014768,0.00014768,0.00014768
54,160.656,0.44777,0.31595,0.86137,0.99609,1,0.995,0.8606,0.5355,0.3596,0.83494,0.00013303,0.00013303,0.00013303
55,163.504,0.39685,0.3228,0.81966,0.99609,1,0.995,0.8606,0.5355,0.3596,0.83494,0.00011772,0.00011772,0.00011772
56,167.89,0.41347,0.3434,0.82188,0.99609,1,0.995,0.8606,0.5355,0.3596,0.83494,0.00010175,0.00010175,0.00010175
57,170.965,0.41743,0.33084,0.78965,0.99657,1,0.995,0.86256,0.51542,0.33783,0.83329,8.512e-05,8.512e-05,8.512e-05
58,173.169,0.38241,0.32671,0.80191,0.99657,1,0.995,0.86256,0.51542,0.33783,0.83329,6.783e-05,6.783e-05,6.783e-05
59,175.715,0.38522,0.33593,0.80995,0.99657,1,0.995,0.86256,0.51542,0.33783,0.83329,4.988e-05,4.988e-05,4.988e-05
60,178.144,0.40126,0.32647,0.80763,0.99714,1,0.995,0.87816,0.50919,0.32362,0.83228,3.127e-05,3.127e-05,3.127e-05
